dim,n_samples,n_vines,decreasing,algorithm,seed,loglik_dissmann,time_dissmann,kl_dissmann,loglik_forest,time_forest,kl_forest,prop_better,forest_over_dissmann
20,100,1,False,wilson,10,2486.4850214488524,0.3592231273651123,-inf,2491.100483333207,0.362468957901001,-inf,1.0,1.0018562194602183
20,100,10,True,jck,10,1834.7390579766038,0.39450526237487793,37.76812378567018,1821.6043968918807,3.5895159244537354,42.49442420740276,0.0,0.992841128536715
20,100,10,True,wilson,10,1834.7390579766038,0.36693477630615234,37.76812378567018,1801.2125746634092,3.7663822174072266,48.75813938077883,0.0,0.9817268383929383
20,100,10,False,jck,10,2486.4850214488524,0.37680625915527344,-inf,2620.782907324726,3.4331510066986084,-inf,0.2,1.0540111380995245
20,100,10,False,wilson,10,2486.4850214488524,0.32747316360473633,-inf,2491.100483333207,3.360729694366455,-inf,0.1,1.0018562194602183
20,100,100,True,jck,10,1834.7390579766038,0.36843037605285645,37.76812378567018,1888.0022973337898,34.67957830429077,39.00967883020376,0.1,1.0290304166827549
20,100,100,True,wilson,10,1834.7390579766038,0.3976595401763916,37.76812378567018,1829.4782077730572,38.42088437080383,39.79888316684681,0.0,0.9971326439143077
20,100,100,False,jck,10,2486.4850214488524,0.3764677047729492,-inf,2752.5810108507017,35.349756717681885,,0.38,1.107016928357283
20,100,100,False,wilson,10,2486.4850214488524,0.37456488609313965,-inf,2495.159486348207,37.13506841659546,-inf,0.03,1.0034886455476413
20,100,500,True,jck,10,1834.7390579766038,0.4006805419921875,37.76812378567018,1888.0022973337898,186.66516733169556,39.00967883020376,0.076,1.0290304166827549
20,100,500,True,wilson,10,1834.7390579766038,0.4037764072418213,37.76812378567018,1854.9024590773643,195.11124563217163,47.46684579203249,0.002,1.0109897922612479
20,100,500,False,jck,10,2486.4850214488524,0.3825664520263672,-inf,2752.5810108507017,180.4779760837555,,0.37,1.107016928357283
20,100,500,False,wilson,10,2486.4850214488524,0.38141918182373047,-inf,2548.6385915528117,188.04223537445068,,0.02,1.0249965592263022
